[INFO ] 2020-02-21 19:20:11.093 [http-nio-8081-exec-9] Servlet - Incoming Post Request
[INFO ] 2020-02-21 19:20:11.093 [http-nio-8081-exec-9] Servlet - Incoming Get Request
[INFO ] 2020-02-21 19:20:11.093 [http-nio-8081-exec-9] Servlet - Given action: UpdateProject
[INFO ] 2020-02-21 19:21:00.125 [http-nio-8081-exec-3] Servlet - Incoming Post Request
[INFO ] 2020-02-21 19:21:00.127 [http-nio-8081-exec-3] Servlet - Incoming Get Request
[INFO ] 2020-02-21 19:21:00.137 [http-nio-8081-exec-3] Servlet - Given action: UpdateProject
[INFO ] 2020-02-21 19:26:55.394 [http-nio-8081-exec-3] Servlet - Incoming Post Request
[INFO ] 2020-02-21 19:26:55.396 [http-nio-8081-exec-3] Servlet - Incoming Get Request
[INFO ] 2020-02-21 19:26:55.406 [http-nio-8081-exec-3] Servlet - Given action: DeleteProject
[INFO ] 2020-02-21 19:27:12.540 [http-nio-8081-exec-6] Servlet - Incoming Get Request
[INFO ] 2020-02-21 19:27:12.541 [http-nio-8081-exec-6] Servlet - Given action: CreateProject
[INFO ] 2020-02-21 19:27:59.556 [http-nio-8081-exec-3] Servlet - Incoming Post Request
[INFO ] 2020-02-21 19:27:59.558 [http-nio-8081-exec-3] Servlet - Incoming Get Request
[INFO ] 2020-02-21 19:27:59.567 [http-nio-8081-exec-3] Servlet - Given action: UpdateProject
[INFO ] 2020-02-21 19:28:24.781 [http-nio-8081-exec-6] Servlet - Incoming Post Request
[INFO ] 2020-02-21 19:28:24.782 [http-nio-8081-exec-6] Servlet - Incoming Get Request
[INFO ] 2020-02-21 19:28:24.782 [http-nio-8081-exec-6] Servlet - Given action: UpdateProject
[INFO ] 2020-02-21 19:28:40.980 [http-nio-8081-exec-8] Servlet - Incoming Post Request
[INFO ] 2020-02-21 19:28:40.980 [http-nio-8081-exec-8] Servlet - Incoming Get Request
[INFO ] 2020-02-21 19:28:40.980 [http-nio-8081-exec-8] Servlet - Given action: UpdateProject
[INFO ] 2020-02-21 19:29:01.908 [http-nio-8081-exec-10] Servlet - Incoming Post Request
